srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,rus,711,711,judge32,newstest2016.PROMT-Rule-based.4276.en-ru,2,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,961
eng,rus,711,711,judge32,newstest2016.PROMT-Rule-based.4276.en-ru,2,newstest2016.jhu-pbmt.4293.en-ru,4,961
eng,rus,711,711,judge32,newstest2016.PROMT-Rule-based.4276.en-ru,2,newstest2016.uedin-nmt.4307.en-ru,3,961
eng,rus,711,711,judge32,newstest2016.PROMT-Rule-based.4276.en-ru,2,newstest2016.NYU-UMontreal.4408.en-ru,3,961
eng,rus,711,711,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,newstest2016.jhu-pbmt.4293.en-ru,4,961
eng,rus,711,711,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,newstest2016.uedin-nmt.4307.en-ru,3,961
eng,rus,711,711,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,newstest2016.NYU-UMontreal.4408.en-ru,3,961
eng,rus,711,711,judge32,newstest2016.jhu-pbmt.4293.en-ru,4,newstest2016.uedin-nmt.4307.en-ru,3,961
eng,rus,711,711,judge32,newstest2016.jhu-pbmt.4293.en-ru,4,newstest2016.NYU-UMontreal.4408.en-ru,3,961
eng,rus,711,711,judge32,newstest2016.uedin-nmt.4307.en-ru,3,newstest2016.NYU-UMontreal.4408.en-ru,3,961
eng,rus,712,712,judge32,newstest2016.online-F.0.en-ru,2,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,962
eng,rus,712,712,judge32,newstest2016.online-F.0.en-ru,2,newstest2016.online-B.0.en-ru,1,962
eng,rus,712,712,judge32,newstest2016.online-F.0.en-ru,2,newstest2016.online-A.0.en-ru,3,962
eng,rus,712,712,judge32,newstest2016.online-F.0.en-ru,2,newstest2016.NYU-UMontreal.4408.en-ru,2,962
eng,rus,712,712,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,newstest2016.online-B.0.en-ru,1,962
eng,rus,712,712,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,newstest2016.online-A.0.en-ru,3,962
eng,rus,712,712,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,1,newstest2016.NYU-UMontreal.4408.en-ru,2,962
eng,rus,712,712,judge32,newstest2016.online-B.0.en-ru,1,newstest2016.online-A.0.en-ru,3,962
eng,rus,712,712,judge32,newstest2016.online-B.0.en-ru,1,newstest2016.NYU-UMontreal.4408.en-ru,2,962
eng,rus,712,712,judge32,newstest2016.online-A.0.en-ru,3,newstest2016.NYU-UMontreal.4408.en-ru,2,962
eng,rus,713,713,judge32,newstest2016.jhu-pbmt.4293.en-ru,1,newstest2016.AMU-UEDIN.4450.en-ru,2,963
eng,rus,713,713,judge32,newstest2016.jhu-pbmt.4293.en-ru,1,newstest2016.online-G.0.en-ru,2,963
eng,rus,713,713,judge32,newstest2016.jhu-pbmt.4293.en-ru,1,newstest2016.online-B.0.en-ru,2,963
eng,rus,713,713,judge32,newstest2016.jhu-pbmt.4293.en-ru,1,newstest2016.uedin-nmt.4307.en-ru,3,963
eng,rus,713,713,judge32,newstest2016.AMU-UEDIN.4450.en-ru,2,newstest2016.online-G.0.en-ru,2,963
eng,rus,713,713,judge32,newstest2016.AMU-UEDIN.4450.en-ru,2,newstest2016.online-B.0.en-ru,2,963
eng,rus,713,713,judge32,newstest2016.AMU-UEDIN.4450.en-ru,2,newstest2016.uedin-nmt.4307.en-ru,3,963
eng,rus,713,713,judge32,newstest2016.online-G.0.en-ru,2,newstest2016.online-B.0.en-ru,2,963
eng,rus,713,713,judge32,newstest2016.online-G.0.en-ru,2,newstest2016.uedin-nmt.4307.en-ru,3,963
eng,rus,713,713,judge32,newstest2016.online-B.0.en-ru,2,newstest2016.uedin-nmt.4307.en-ru,3,963
eng,rus,775,775,judge32,newstest2016.uedin-nmt.4307.en-ru,3,newstest2016.PROMT-Rule-based.4276.en-ru,1,964
eng,rus,775,775,judge32,newstest2016.uedin-nmt.4307.en-ru,3,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,3,964
eng,rus,775,775,judge32,newstest2016.uedin-nmt.4307.en-ru,3,newstest2016.jhu-pbmt.4293.en-ru,2,964
eng,rus,775,775,judge32,newstest2016.uedin-nmt.4307.en-ru,3,newstest2016.AFRL-MITLL-phrase-based.4506.en-ru,3,964
eng,rus,775,775,judge32,newstest2016.PROMT-Rule-based.4276.en-ru,1,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,3,964
eng,rus,775,775,judge32,newstest2016.PROMT-Rule-based.4276.en-ru,1,newstest2016.jhu-pbmt.4293.en-ru,2,964
eng,rus,775,775,judge32,newstest2016.PROMT-Rule-based.4276.en-ru,1,newstest2016.AFRL-MITLL-phrase-based.4506.en-ru,3,964
eng,rus,775,775,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,3,newstest2016.jhu-pbmt.4293.en-ru,2,964
eng,rus,775,775,judge32,newstest2016.AFRL-MITLL-verb-annot.4526.en-ru,3,newstest2016.AFRL-MITLL-phrase-based.4506.en-ru,3,964
eng,rus,775,775,judge32,newstest2016.jhu-pbmt.4293.en-ru,2,newstest2016.AFRL-MITLL-phrase-based.4506.en-ru,3,964
eng,rus,776,776,judge32,newstest2016.online-B.0.en-ru,2,newstest2016.LIMSI.4349.en-ru,1,965
eng,rus,776,776,judge32,newstest2016.online-B.0.en-ru,2,newstest2016.uedin-nmt.4307.en-ru,2,965
eng,rus,776,776,judge32,newstest2016.online-B.0.en-ru,2,newstest2016.NYU-UMontreal.4408.en-ru,4,965
eng,rus,776,776,judge32,newstest2016.online-B.0.en-ru,2,newstest2016.online-A.0.en-ru,1,965
eng,rus,776,776,judge32,newstest2016.LIMSI.4349.en-ru,1,newstest2016.uedin-nmt.4307.en-ru,2,965
eng,rus,776,776,judge32,newstest2016.LIMSI.4349.en-ru,1,newstest2016.NYU-UMontreal.4408.en-ru,4,965
eng,rus,776,776,judge32,newstest2016.LIMSI.4349.en-ru,1,newstest2016.online-A.0.en-ru,1,965
eng,rus,776,776,judge32,newstest2016.uedin-nmt.4307.en-ru,2,newstest2016.NYU-UMontreal.4408.en-ru,4,965
eng,rus,776,776,judge32,newstest2016.uedin-nmt.4307.en-ru,2,newstest2016.online-A.0.en-ru,1,965
eng,rus,776,776,judge32,newstest2016.NYU-UMontreal.4408.en-ru,4,newstest2016.online-A.0.en-ru,1,965
eng,rus,777,777,judge32,newstest2016.AMU-UEDIN.4450.en-ru,2,newstest2016.online-A.0.en-ru,2,966
eng,rus,777,777,judge32,newstest2016.AMU-UEDIN.4450.en-ru,2,newstest2016.online-F.0.en-ru,1,966
eng,rus,777,777,judge32,newstest2016.AMU-UEDIN.4450.en-ru,2,newstest2016.uedin-nmt.4307.en-ru,1,966
eng,rus,777,777,judge32,newstest2016.AMU-UEDIN.4450.en-ru,2,newstest2016.jhu-pbmt.4293.en-ru,2,966
eng,rus,777,777,judge32,newstest2016.online-A.0.en-ru,2,newstest2016.online-F.0.en-ru,1,966
eng,rus,777,777,judge32,newstest2016.online-A.0.en-ru,2,newstest2016.uedin-nmt.4307.en-ru,1,966
eng,rus,777,777,judge32,newstest2016.online-A.0.en-ru,2,newstest2016.jhu-pbmt.4293.en-ru,2,966
eng,rus,777,777,judge32,newstest2016.online-F.0.en-ru,1,newstest2016.uedin-nmt.4307.en-ru,1,966
eng,rus,777,777,judge32,newstest2016.online-F.0.en-ru,1,newstest2016.jhu-pbmt.4293.en-ru,2,966
eng,rus,777,777,judge32,newstest2016.uedin-nmt.4307.en-ru,1,newstest2016.jhu-pbmt.4293.en-ru,2,966
eng,rus,652,652,judge32,newstest2016.AFRL-MITLL-phrase-based.4506.en-ru,3,newstest2016.PROMT-Rule-based.4276.en-ru,1,967
eng,rus,652,652,judge32,newstest2016.AFRL-MITLL-phrase-based.4506.en-ru,3,newstest2016.online-B.0.en-ru,2,967
eng,rus,652,652,judge32,newstest2016.AFRL-MITLL-phrase-based.4506.en-ru,3,newstest2016.online-A.0.en-ru,1,967
